Timestamp,Fecha,Hora,Sucursal,Idioma,Caja(1-5),Entrega(1-5),Calidad(1-5),Limpieza(1-5),NPS(0-10),Comentarios,FotosURLs,FotosIDs,FolderURL,FolderID,ClienteNick,Week,Month,Year,ID,Estatus,Reviso
10/26/2025 13:59:53,2025-10-26,13:59,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Roxana,44,10,2025,876a321e-161f-4b05-887b-648c13e815ef,cerrado,Admin
10/26/2025 14:04:19,2025-10-26,14:04,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Luis,44,10,2025,9c5c604d-e699-4b25-80e2-0472deb346c4,cerrado,Admin
10/26/2025 14:07:48,2025-10-26,14:07,Lynwood,en,5,5,5,5,10,Todo muy bien,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Jaime Martínez,44,10,2025,c0d15dda-7278-4a8d-8047-53a946998941,cerrado,Admin
10/26/2025 14:07:51,2025-10-26,14:07,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Juan,44,10,2025,359019b1-f21f-439f-8141-5fa6408dfce2,cerrado,Admin
10/26/2025 14:12:06,2025-10-26,14:12,Lynwood,es,5,5,5,5,10,Todo bien,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Yoshua,44,10,2025,b3b2e8d6-028e-4d6c-881b-f35d5efe8d25,cerrado,Admin
10/26/2025 14:13:21,2025-10-26,14:13,Lynwood,es,5,5,5,5,9,Siempre son buena onda las personas que nos atendienden,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Francisco,44,10,2025,12e1c2ca-7980-4705-a24a-502a7ed847eb,cerrado,Roque
10/26/2025 14:13:34,2025-10-26,14:13,Lynwood,en,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Junior,44,10,2025,9e0fc9a3-d11b-423d-9cf2-7e5575f85928,cerrado,Admin
10/26/2025 14:16:33,2025-10-26,14:16,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,,44,10,2025,0cd81b52-58b3-4bfe-801e-1c53e8b22002,cerrado,Admin
10/26/2025 14:18:26,2025-10-26,14:18,Lynwood,es,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,Adri a,44,10,2025,3f5a96ca-c1b5-4a4d-9d80-22af85e581b9,cerrado,Admin
10/26/2025 14:18:47,2025-10-26,14:18,Lynwood,en,5,5,5,5,10,,,,https://drive.google.com/drive/folders/1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,1PT0VRsYc9VdE6398OxrTIvmMpFL5SgvA,,44,10,2025,8ecd8501-a3af-4b2f-944b-e3ac75fe1674,cerrado,Admin
