Store,Date,DayOfWeek,FirstHour,FirstHourSales,LastHour,LastHourSales
Tacos Gavilan Lynwood,2025-01-07,Martes,12:00 AM,523.97,11:00 PM,1005.20
Tacos Gavilan Norwalk,2025-01-07,Martes,12:00 AM,526.70,11:00 PM,737.68
Tacos Gavilan Slauson,2025-01-07,Martes,12:00 AM,394.71,11:00 PM,704.24
Tacos Gavilan Hollywood,2025-01-07,Martes,9:00 AM,306.47,11:00 PM,506.60
Tacos Gavilan LA Broadway,2025-01-07,Martes,12:00 AM,597.58,11:00 PM,598.31
Tacos Gavilan West Covina,2025-01-08,Miércoles,12:00 AM,595.02,11:00 PM,670.24
Tacos Gavilan Santa Ana,2025-01-08,Miércoles,10:00 AM,420.95,11:00 PM,230.96
Tacos Gavilan La Puente,2025-01-08,Miércoles,9:00 AM,47.77,11:00 PM,430.22
Tacos Gavilan Azusa,2025-01-08,Miércoles,5:00 PM,445.56,11:00 PM,305.77
Tacos Gavilan Rialto,2025-01-08,Miércoles,9:00 AM,89.27,11:00 PM,640.84
Tacos Gavilan LA Central,2025-01-08,Miércoles,12:00 AM,790.29,11:00 PM,895.71
Tacos Gavilan South Gate,2025-01-08,Miércoles,9:00 AM,201.28,11:00 PM,493.43
Tacos Gavilan Bell,2025-01-08,Miércoles,10:00 AM,226.68,11:00 PM,165.11
Tacos Gavilan Downey,2025-01-08,Miércoles,9:00 AM,241.13,11:00 PM,169.29
Tacos Gavilan Huntington Park,2025-01-08,Miércoles,9:00 AM,51.91,11:00 PM,349.07
Tacos Gavilan Lynwood,2025-01-08,Miércoles,12:00 AM,599.75,11:00 PM,950.27
Tacos Gavilan Norwalk,2025-01-08,Miércoles,12:00 AM,392.55,11:00 PM,547.21
Tacos Gavilan Slauson,2025-01-08,Miércoles,12:00 AM,373.14,11:00 PM,604.02
Tacos Gavilan Hollywood,2025-01-08,Miércoles,9:00 AM,535.49,11:00 PM,376.23
Tacos Gavilan LA Broadway,2025-01-08,Miércoles,12:00 AM,473.88,11:00 PM,579.01
Tacos Gavilan West Covina,2025-01-09,Jueves,12:00 AM,511.57,11:00 PM,535.00
Tacos Gavilan Santa Ana,2025-01-09,Jueves,10:00 AM,304.39,11:00 PM,287.65
Tacos Gavilan La Puente,2025-01-09,Jueves,9:00 AM,35.86,11:00 PM,236.57
Tacos Gavilan Azusa,2025-01-09,Jueves,10:00 AM,177.86,11:00 PM,242.41
Tacos Gavilan Rialto,2025-01-09,Jueves,12:00 AM,165.14,11:00 PM,456.21
Tacos Gavilan LA Central,2025-01-09,Jueves,12:00 AM,586.65,11:00 PM,692.05
Tacos Gavilan South Gate,2025-01-09,Jueves,9:00 AM,110.13,11:00 PM,533.99
Tacos Gavilan Bell,2025-01-09,Jueves,10:00 AM,101.40,11:00 PM,299.97
Tacos Gavilan Downey,2025-01-09,Jueves,12:00 AM,106.97,11:00 PM,560.43
Tacos Gavilan Huntington Park,2025-01-09,Jueves,12:00 AM,293.56,11:00 PM,258.87
Tacos Gavilan Lynwood,2025-01-09,Jueves,12:00 AM,669.82,11:00 PM,783.57
Tacos Gavilan Norwalk,2025-01-09,Jueves,12:00 AM,543.95,11:00 PM,710.32
Tacos Gavilan Slauson,2025-01-09,Jueves,12:00 AM,271.33,11:00 PM,652.49
Tacos Gavilan Hollywood,2025-01-09,Jueves,12:00 AM,3.29,11:00 PM,424.18
Tacos Gavilan LA Broadway,2025-01-09,Jueves,12:00 AM,664.90,11:00 PM,520.16
Tacos Gavilan West Covina,2025-01-10,Viernes,12:00 AM,684.25,11:00 PM,580.81
Tacos Gavilan Santa Ana,2025-01-10,Viernes,12:00 AM,346.05,11:00 PM,640.97
Tacos Gavilan La Puente,2025-01-10,Viernes,12:00 AM,432.62,11:00 PM,372.72
Tacos Gavilan Azusa,2025-01-10,Viernes,12:00 AM,249.55,11:00 PM,320.39
Tacos Gavilan Rialto,2025-01-10,Viernes,12:00 AM,775.74,11:00 PM,898.61
Tacos Gavilan LA Central,2025-01-10,Viernes,12:00 AM,807.90,11:00 PM,1489.20
Tacos Gavilan South Gate,2025-01-10,Viernes,12:00 AM,578.98,11:00 PM,606.90
Tacos Gavilan Bell,2025-01-10,Viernes,12:00 AM,146.18,11:00 PM,344.63
Tacos Gavilan Downey,2025-01-10,Viernes,12:00 AM,445.30,11:00 PM,459.79
Tacos Gavilan Huntington Park,2025-01-10,Viernes,12:00 AM,332.37,11:00 PM,444.56
