id,user_id,type,title,message,link,is_read,created_at,reference_id,reference_type,read
209,44,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Willian Aguilar.,/inspecciones?id=119,false,2026-01-04 09:29:39.914118+00,119,supervisor_inspections,false
210,45,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Willian Aguilar.,/inspecciones?id=119,false,2026-01-04 09:29:39.914118+00,119,supervisor_inspections,false
211,46,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Willian Aguilar.,/inspecciones?id=119,false,2026-01-04 09:29:39.914118+00,119,supervisor_inspections,false
212,43,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Willian Aguilar.,/inspecciones?id=119,false,2026-01-04 09:29:39.914118+00,119,supervisor_inspections,false
214,57,alert,⚠️ Alerta: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 72%,/inspecciones,false,2026-01-04 09:29:40.361868+00,119,supervisor_inspection,false
215,44,alert,⚠️ Alerta: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 72%,/inspecciones,false,2026-01-04 09:29:40.361868+00,119,supervisor_inspection,false
216,45,alert,⚠️ Alerta: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 72%,/inspecciones,false,2026-01-04 09:29:40.361868+00,119,supervisor_inspection,false
217,46,alert,⚠️ Alerta: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 72%,/inspecciones,false,2026-01-04 09:29:40.361868+00,119,supervisor_inspection,false
218,43,alert,⚠️ Alerta: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 72%,/inspecciones,false,2026-01-04 09:29:40.361868+00,119,supervisor_inspection,false
220,25,alert,⚠️ Alerta: Tacos Gavilan Lynwood,El supervisor Willian Aguilar completó una auditoría con 72%,/inspecciones,true,2026-01-04 09:29:40.361868+00,119,supervisor_inspection,false
221,57,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=120,false,2026-01-05 01:33:04.159031+00,120,supervisor_inspections,false
222,44,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=120,false,2026-01-05 01:33:04.159031+00,120,supervisor_inspections,false
223,45,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=120,false,2026-01-05 01:33:04.159031+00,120,supervisor_inspections,false
224,46,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=120,false,2026-01-05 01:33:04.159031+00,120,supervisor_inspections,false
225,43,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=120,false,2026-01-05 01:33:04.159031+00,120,supervisor_inspections,false
227,57,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=121,false,2026-01-05 01:33:04.159031+00,121,supervisor_inspections,false
228,44,info,🛡️ Nueva Auditoría de Supervisor,Auditoría realizada por Supervisor.,/inspecciones?id=121,false,2026-01-05 01:33:04.159031+00,121,supervisor_inspections,false
